city,crime,value
227,Alentejo Litoral,Condução sem habilitação legal,265
228,Cuba,Condução sem habilitação legal,6
229,Arronches,Condução sem habilitação legal,0
230,Castelo de Vide,Condução sem habilitação legal,0
231,Portalegre,Condução sem habilitação legal,14
232,Oeiras,Crimes contra o património,2086
233,Setúbal,Crimes contra o património,2414
234,Sintra,Crimes contra o património,6412
235,Ferreira do Alentejo,Crimes contra o património,140
236,Mértola,Crimes contra o património,52
237,Azambuja,Crimes contra o património,410
238,Chamusca,Crimes contra o património,123
239,Coruche,Crimes contra o património,356
240,Sousel,Crimes contra o património,55
241,Mourão,Crimes contra o património,70
243,Lagoa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",26
244,Lajes do Pico,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",0
245,Santa Cruz da Graciosa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9
246,Velas,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",16
247,Câmara de Lobos,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",218
248,Ponta do Sol,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5
249,Vila Nova de Cerveira,Crimes contra o Estado,0
250,Lamego,Crimes contra a integridade física,109
251,Murça,Crimes contra a integridade física,24
252,Torre de Moncorvo,Crimes contra a integridade física,42
253,Vila Real,Crimes contra a integridade física,238
254,Terras de Trás-os-Montes,Crimes contra a integridade física,482
255,Vimioso,Crimes contra a integridade física,15
256,Alcobaça,Crimes contra a integridade física,200
257,Alenquer,Crimes contra a integridade física,226
258,Caldas da Rainha,Crimes contra a integridade física,238
259,Felgueiras,Crimes contra a vida em sociedade,305
260,Resende,Crimes contra a vida em sociedade,80
261,Armamar,Crimes contra a vida em sociedade,9
262,Lamego,Crimes contra a vida em sociedade,67
263,Vila Nova de Foz Côa,Crimes contra a vida em sociedade,34
264,Vila Real,Crimes contra a vida em sociedade,275
265,Alfândega da Fé,Crimes contra a vida em sociedade,27
266,Vimioso,Crimes contra a vida em sociedade,22
267,Lourinhã,Crimes contra a vida em sociedade,72
268,Oliveira do Bairro,Crimes contra a vida em sociedade,226
269,Figueira da Foz,Crimes contra a vida em sociedade,220
270,Oliveira do Hospital,Crimes contra a vida em sociedade,103
271,Ansião,Crimes contra a vida em sociedade,30
272,Batalha,Crimes contra a vida em sociedade,83
273,Mangualde,Crimes contra a vida em sociedade,109
274,Vouzela,Crimes contra a vida em sociedade,23
275,Oleiros,Crimes contra a vida em sociedade,25
276,Proença-a-Nova,Crimes contra a vida em sociedade,49
292,Sobral de Monte Agraço,Crimes contra a integridade física,70
294,Anadia,Crimes contra a integridade física,117
295,Aveiro,Crimes contra a integridade física,415
296,Ílhavo,Crimes contra a integridade física,184
297,Arganil,Crimes contra a integridade física,64
298,Condeixa-a-Nova,Crimes contra a integridade física,46
299,Mealhada,Crimes contra a integridade física,86
300,Mira,Crimes contra a integridade física,71
301,Soure,Crimes contra a integridade física,54
303,Celorico de Basto,Furto de veículo e em veículo motorizado,11
304,Felgueiras,Furto de veículo e em veículo motorizado,79
305,Resende,Furto de veículo e em veículo motorizado,13
306,Armamar,Furto de veículo e em veículo motorizado,8
307,Penedono,Furto de veículo e em veículo motorizado,0
308,Vinhais,Furto de veículo e em veículo motorizado,0
309,Anadia,Furto de veículo e em veículo motorizado,55
310,Cantanhede,Furto de veículo e em veículo motorizado,91
311,Condeixa-a-Nova,Furto de veículo e em veículo motorizado,40
312,Almodôvar,Crimes contra animais de companhia,9
313,Castelo de Vide,Crimes contra animais de companhia,0
314,Elvas,Crimes contra animais de companhia,14
315,Alentejo Central,Crimes contra animais de companhia,50
316,Mora,Crimes contra animais de companhia,0
317,Algarve,Crimes contra animais de companhia,112
318,Lagoa,Crimes contra animais de companhia,5
319,Tavira,Crimes contra animais de companhia,7
321,Povoação,Crimes contra animais de companhia,0
322,Santa Cruz das Flores,Crimes contra animais de companhia,7
323,Santana,Crimes contra animais de companhia,0
324,São Vicente,Crimes contra animais de companhia,3
325,Melgaço,Crimes previstos em legislação avulsa,18
326,Ponte de Lima,Crimes previstos em legislação avulsa,29
327,Vila Nova de Cerveira,Crimes previstos em legislação avulsa,45
328,Mangualde,Crimes contra a integridade física,103
329,Vouzela,Crimes contra a integridade física,44
330,Ourém,Crimes contra a integridade física,201
331,Almeida,Crimes contra a integridade física,33
332,Odemira,Crimes contra a integridade física,149
333,Cuba,Crimes contra a integridade física,42
334,Chamusca,Crimes contra a integridade física,41
335,Golegã,Crimes contra a integridade física,20
336,Nelas,Furto de veículo e em veículo motorizado,19
337,Oliveira de Frades,Furto de veículo e em veículo motorizado,11
338,Sátão,Furto de veículo e em veículo motorizado,0
339,Vouzela,Furto de veículo e em veículo motorizado,8
340,Fundão,Furto de veículo e em veículo motorizado,29
341,Mêda,Furto de veículo e em veículo motorizado,3
342,Lisboa,Furto de veículo e em veículo motorizado,2768
343,Montijo,Furto de veículo e em veículo motorizado,213
344,Oeiras,Furto de veículo e em veículo motorizado,305
345,Odemira,Furto de veículo e em veículo motorizado,60
346,Santiago do Cacém,Furto de veículo e em veículo motorizado,46
347,Aljustrel,Furto de veículo e em veículo motorizado,6
348,Beja,Furto de veículo e em veículo motorizado,89
349,Santarém,Furto de veículo e em veículo motorizado,148
350,Alto Alentejo,Furto de veículo e em veículo motorizado,121
351,Amares,Crimes previstos em legislação avulsa,25
352,Valongo,Crimes previstos em legislação avulsa,59
353,Vila Nova de Gaia,Crimes previstos em legislação avulsa,705
354,Celorico de Basto,Crimes previstos em legislação avulsa,13
355,Resende,Crimes previstos em legislação avulsa,23
356,Alijó,Crimes previstos em legislação avulsa,0
357,Sabrosa,Crimes previstos em legislação avulsa,0
358,Santa Marta de Penaguião,Crimes previstos em legislação avulsa,0
359,Terras de Trás-os-Montes,Crimes previstos em legislação avulsa,190
360,Alfândega da Fé,Crimes previstos em legislação avulsa,0
361,Vinhais,Crimes previstos em legislação avulsa,0
362,Alcobaça,Crimes previstos em legislação avulsa,112
363,Lourinhã,Crimes previstos em legislação avulsa,26
364,Nazaré,Crimes previstos em legislação avulsa,75
365,Sobral de Monte Agraço,Crimes previstos em legislação avulsa,43
366,Aveiro,Crimes previstos em legislação avulsa,132
367,Crato,Crimes contra a integridade física,16
368,Fronteira,Crimes contra a integridade física,9
369,Cinfães,Violência doméstica contra cônjuge ou análogos,48
370,Mesão Frio,Violência doméstica contra cônjuge ou análogos,16
371,Torre de Moncorvo,Violência doméstica contra cônjuge ou análogos,20
372,Vila Flor,Violência doméstica contra cônjuge ou análogos,10
374,Bombarral,Violência doméstica contra cônjuge ou análogos,37
375,Lourinhã,Violência doméstica contra cônjuge ou análogos,85
376,Águeda,Violência doméstica contra cônjuge ou análogos,82
377,Vagos,Violência doméstica contra cônjuge ou análogos,56
378,Cantanhede,Violência doméstica contra cônjuge ou análogos,119
379,Figueira da Foz,Violência doméstica contra cônjuge ou análogos,152
380,Castanheira de Pêra,Violência doméstica contra cônjuge ou análogos,3
381,Pedrógão Grande,Violência doméstica contra cônjuge ou análogos,11
382,Santa Comba Dão,Violência doméstica contra cônjuge ou análogos,26
383,Tondela,Violência doméstica contra cônjuge ou análogos,41
384,Olhão,Condução sem habilitação legal,61
385,Vila Real de Santo António,Condução sem habilitação legal,41
387,Machico,Condução sem habilitação legal,11
388,Ponta do Sol,Condução sem habilitação legal,0
389,Porto Moniz,Condução sem habilitação legal,0
390,Gouveia,Crimes contra a vida em sociedade,55
391,Trancoso,Crimes contra a vida em sociedade,45
393,Moita,Crimes contra a vida em sociedade,256
394,Odivelas,Crimes contra a vida em sociedade,294
395,Alandroal,Crimes contra a integridade física,19
396,Arraiolos,Crimes contra a integridade física,29
397,Redondo,Crimes contra a integridade física,51
398,Reguengos de Monsaraz,Crimes contra a integridade física,62
399,Vila do Bispo,Crimes contra a integridade física,61
400,Vila Real de Santo António,Crimes contra a integridade física,117
401,Angra do Heroísmo,Crimes contra a integridade física,234
402,Santa Cruz das Flores,Crimes contra a integridade física,29
403,Calheta,Crimes contra a integridade física,22
404,Funchal,Crimes contra a integridade física,815
405,Machico,Crimes contra a integridade física,123
406,Santana,Crimes contra a integridade física,40
408,Alto Minho,Ofensa à integridade física voluntária simples,510
409,Melgaço,Ofensa à integridade física voluntária simples,23
410,Gavião,Furto de veículo e em veículo motorizado,11
411,Portalegre,Furto de veículo e em veículo motorizado,24
412,Montemor-o-Novo,Furto de veículo e em veículo motorizado,26
413,Reguengos de Monsaraz,Furto de veículo e em veículo motorizado,14
414,Vendas Novas,Furto de veículo e em veículo motorizado,16
415,Vila Viçosa,Furto de veículo e em veículo motorizado,3
416,Alcoutim,Furto de veículo e em veículo motorizado,4
418,Santa Cruz da Graciosa,Furto de veículo e em veículo motorizado,5
419,Velas,Furto de veículo e em veículo motorizado,0
421,Câmara de Lobos,Furto de veículo e em veículo motorizado,76
422,Alto Minho,Crimes contra a identidade cultural e integridade pessoal,0
423,Cabeceiras de Basto,Crimes contra a identidade cultural e integridade pessoal,0
424,Sesimbra,Crimes contra a vida em sociedade,208
425,Grândola,Crimes contra a vida em sociedade,118
426,Barrancos,Crimes contra a vida em sociedade,26
427,Castro Verde,Crimes contra a vida em sociedade,39
428,Serpa,Crimes contra a vida em sociedade,73
429,Chamusca,Crimes contra a vida em sociedade,43
430,Campo Maior,Crimes contra a vida em sociedade,49
431,Portalegre,Crimes contra a vida em sociedade,95
432,Estremoz,Crimes contra a vida em sociedade,42
433,Mora,Crimes contra a vida em sociedade,12
452,Vila Nova de Paiva,Violência doméstica contra cônjuge ou análogos,10
453,Oleiros,Violência doméstica contra cônjuge ou análogos,6
454,Médio Tejo,Violência doméstica contra cônjuge ou análogos,461
455,Vieira do Minho,Crimes contra a identidade cultural e integridade pessoal,0
456,Barcelos,Crimes contra o Estado,30
457,Terras de Bouro,Crimes contra o Estado,0
458,Fafe,Crimes contra o Estado,13
459,Vale de Cambra,Crimes contra o Estado,15
460,Chaves,Crimes contra o Estado,10
461,Alijó,Crimes contra o Estado,0
462,Carrazeda de Ansiães,Crimes contra o Estado,0
463,Sabrosa,Crimes contra o Estado,0
464,São João da Pesqueira,Crimes contra o Estado,4
465,Tarouca,Crimes contra o Estado,0
466,Baixo Alentejo,Crimes contra as pessoas,1263
467,Beja,Crimes contra as pessoas,338
468,Cuba,Crimes contra as pessoas,75
469,Cartaxo,Crimes contra as pessoas,180
470,Portalegre,Crimes contra as pessoas,193
471,Estremoz,Crimes contra as pessoas,111
472,Albufeira,Crimes contra as pessoas,757
473,Faro,Crimes contra as pessoas,867
474,Monchique,Crimes contra as pessoas,48
476,Calheta,Crimes contra as pessoas,34
477,Nordeste,Crimes contra as pessoas,39
478,Vila do Porto,Crimes contra as pessoas,65
480,Ribeira Brava,Crimes contra as pessoas,139
481,São Vicente,Crimes contra as pessoas,30
482,Ponte da Barca,Crimes de homicídio voluntário consumado,0
484,Nordeste,Crimes contra o património,30
485,Vila Franca do Campo,Crimes contra o património,104
486,Esposende,Roubo por esticão e na via pública,0
487,Vieira do Minho,Roubo por esticão e na via pública,0
488,Vizela,Roubo por esticão e na via pública,0
489,Matosinhos,Roubo por esticão e na via pública,180
490,Santo Tirso,Roubo por esticão e na via pública,13
491,Vila Pouca de Aguiar,Roubo por esticão e na via pública,0
492,Marco de Canaveses,Roubo por esticão e na via pública,0
493,Alfândega da Fé,Crimes contra o Estado,0
495,Oeste,Crimes contra o Estado,190
496,Torres Vedras,Crimes contra o Estado,41
499,Montemor-o-Velho,Crimes contra o Estado,3
500,Vila Nova de Poiares,Crimes contra o Estado,0
501,Aguiar da Beira,Crimes contra o Estado,0
502,Nelas,Crimes contra o Estado,7
503,São Pedro do Sul,Crimes contra o Estado,0
