,city,crime,value,latitude,longitude
1525,Portalegre,Crimes contra o património,251,39.29139709,-7.43234539
1526,Arraiolos,Crimes contra o património,88,38.72258759,-7.98530722
1527,Évora,Crimes contra o património,606,38.57098389,-7.90960217
1528,Lagoa,Crimes contra o património,628,37.13472748,-8.45262527
1529,Madalena,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",6,38.48835373,-28.47450256
1530,Ribeira Grande,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",42,37.82172775,-25.52386856
1531,Vila do Porto,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",8,36.97193909,-25.09832954
1532,Funchal,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",552,32.64753723,-16.90501595
1533,Ribeira Brava,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",37,32.68299866,-17.04999924
1534,Caminha,Crimes contra o Estado,0,41.87393188,-8.84054947
1535,Monção,Crimes contra o Estado,5,42.0788269,-8.48013496
1536,Ave,Crimes contra o Estado,126,53.51245117,13.01904678
1537,Vieira do Minho,Crimes contra o Estado,0,41.63505173,-8.14180374
1538,Oliveira de Azeméis,Crimes contra o Estado,40,40.83998489,-8.47630596
1539,Santo Tirso,Crimes contra o Estado,24,41.34266663,-8.47746563
1540,Trofa,Crimes contra o Estado,24,41.34218979,-8.55755615
1541,Boticas,Crimes contra o Estado,0,41.68874359,-7.66512012
1542,Ribeira de Pena,Crimes contra o Estado,4,41.51984787,-7.79359674
1543,Vila Pouca de Aguiar,Crimes contra o Estado,0,41.50065994,-7.64848852
1544,Marco de Canaveses,Crimes contra o Estado,3,41.18144989,-8.1493454
1545,Paços de Ferreira,Crimes contra o Estado,17,41.27861404,-8.37860489
1546,Mesão Frio,Crimes contra o Estado,0,41.16083908,-7.8876462
1547,Penedono,Crimes contra o Estado,0,40.98884964,-7.39228821
1548,Peso da Régua,Crimes contra o Estado,8,41.16551971,-7.78618431
1549,Castro Verde,Crimes contra as pessoas,74,37.69762421,-8.08186054
1550,Chamusca,Crimes contra as pessoas,66,39.35948944,-8.4807415
1551,Santarém,Crimes contra as pessoas,488,39.23618317,-8.68707466
1552,Fronteira,Crimes contra as pessoas,16,39.05626678,-7.64991426
1553,Montemor-o-Novo,Crimes contra as pessoas,137,38.6449585,-8.21542454
1554,Loulé,Crimes contra as pessoas,1014,37.1375351,-8.02340794
1555,Silves,Crimes contra as pessoas,466,37.18990326,-8.43859005
1556,Santa Cruz da Graciosa,Crimes contra as pessoas,42,39.08495331,-28.00520515
1557,Vila Franca do Campo,Crimes contra as pessoas,91,37.71453094,-25.43340302
1558,Calheta,Crimes contra as pessoas,43,32.72077179,-17.17760849
1559,Porto Santo,Crimes contra as pessoas,79,33.06044006,-16.33327866
1560,Caminha,Crimes de homicídio voluntário consumado,0,41.87393188,-8.84054947
1561,Portimão,Crimes contra o património,1436,37.13763428,-8.53439903
1562,Vila Real de Santo António,Crimes contra o património,448,37.19509506,-7.41457987
1563,Angra do Heroísmo,Crimes contra o património,442,38.65679169,-27.21932602
1564,Lajes das Flores,Crimes contra o património,14,39.40552902,-31.21777916
1565,Povoação,Crimes contra o património,58,37.74722672,-25.24490356
1566,Santa Cruz das Flores,Crimes contra o património,31,39.45597076,-31.12897491
1567,São Roque do Pico,Crimes contra o património,34,38.52944183,-28.32193947
1568,Machico,Crimes contra o património,202,32.71583557,-16.76662827
1569,Santa Cruz,Crimes contra o património,259,36.97414017,-122.02880096
1570,Santana,Crimes contra o património,33,32.80401611,-16.88144875
1571,Alto Minho,Roubo por esticão e na via pública,40,41.70000076,-8.83300018
1572,Valença,Roubo por esticão e na via pública,0,42.02396011,-8.63328552
1573,Cávado,Roubo por esticão e na via pública,100,41.54417038,-8.42193985
1574,Vila Verde,Roubo por esticão e na via pública,0,41.65150452,-8.43593693
1575,Oliveira de Azeméis,Roubo por esticão e na via pública,11,40.83998489,-8.47630596
1576,São João da Madeira,Roubo por esticão e na via pública,0,40.90237808,-8.48950291
1577,Trofa,Roubo por esticão e na via pública,6,41.34218979,-8.55755615
1578,Boticas,Roubo por esticão e na via pública,0,41.68874359,-7.66512012
1579,Felgueiras,Roubo por esticão e na via pública,7,41.36618805,-8.19936275
1580,Paços de Ferreira,Roubo por esticão e na via pública,11,41.27861404,-8.37860489
1581,Bragança,Crimes contra o Estado,10,41.80717468,-6.75919104
1582,Alenquer,Crimes contra o Estado,35,39.05612564,-9.0062027
1583,Bombarral,Crimes contra o Estado,8,39.26689911,-9.15787125
1584,Ovar,Crimes contra o Estado,26,40.85969925,-8.62541866
1585,Sever do Vouga,Crimes contra o Estado,0,40.73306274,-8.36916351
1586,Cantanhede,Crimes contra o Estado,9,40.34669113,-8.59237289
1587,Alvaiázere,Crimes contra o Estado,4,39.82522964,-8.38073826
1588,Pombal,Crimes contra o Estado,31,39.91378021,-8.627491
1589,Porto de Mós,Crimes contra o Estado,17,39.60249329,-8.81852245
1590,Viseu Dão Lafões,Crimes contra o Estado,132,40.65528107,-7.91416979
1591,Sátão,Crimes contra o Estado,3,40.74041748,-7.73609543
1592,Viseu,Crimes contra o Estado,62,40.65754318,-7.91427946
1593,Castelo Branco,Crimes contra o Estado,53,39.8238945,-7.49188519
1594,Mação,Crimes contra o Estado,0,22.13883591,113.57136536
1595,Vila Nova de Cerveira,Crimes de homicídio voluntário consumado,0,41.94009781,-8.74443722
1596,Vila Verde,Crimes de homicídio voluntário consumado,0,41.65150452,-8.43593693
1597,Fafe,Crimes de homicídio voluntário consumado,0,41.44867325,-8.17214012
1598,Vizela,Crimes de homicídio voluntário consumado,0,41.37521744,-8.30317307
1599,Arouca,Crimes de homicídio voluntário consumado,0,40.92892456,-8.24363995
1600,Idanha-a-Nova,Violência doméstica contra cônjuge ou análogos,21,39.91974258,-7.23673964
1601,Aguiar da Beira,Crimes previstos em legislação avulsa,10,40.81547165,-7.54527664
1602,Castro Daire,Crimes previstos em legislação avulsa,17,40.89662933,-7.93545294
1603,Oliveira de Frades,Crimes previstos em legislação avulsa,12,40.73141479,-8.17673016
1604,Ferreira do Zêzere,Crimes previstos em legislação avulsa,15,39.69324875,-8.29031563
1605,Cascais,Crimes previstos em legislação avulsa,387,38.69727707,-9.42175674
1606,Loures,Crimes previstos em legislação avulsa,680,38.83023834,-9.16708851
