city,crime,value
258,Tâmega e Sousa,Violência doméstica contra cônjuge ou análogos,837
259,Nazaré,Crimes contra a integridade física,82
260,Góis,Crimes contra a integridade física,26
261,Lousã,Crimes contra a integridade física,65
262,Mortágua,Crimes contra a integridade física,43
263,Penela,Crimes contra a integridade física,14
264,Tábua,Crimes contra a integridade física,47
265,Tâmega e Sousa,Furto de veículo e em veículo motorizado,725
266,Cinfães,Furto de veículo e em veículo motorizado,13
267,Moimenta da Beira,Furto de veículo e em veículo motorizado,5
268,Murça,Furto de veículo e em veículo motorizado,0
269,Mirandela,Furto de veículo e em veículo motorizado,20
270,Vimioso,Furto de veículo e em veículo motorizado,3
271,Bombarral,Furto de veículo e em veículo motorizado,15
272,Nazaré,Furto de veículo e em veículo motorizado,49
273,Óbidos,Furto de veículo e em veículo motorizado,56
275,Águeda,Furto de veículo e em veículo motorizado,76
276,Vagos,Furto de veículo e em veículo motorizado,39
277,Arganil,Furto de veículo e em veículo motorizado,4
278,Lousã,Furto de veículo e em veículo motorizado,12
279,Soure,Furto de veículo e em veículo motorizado,15
280,Salvaterra de Magos,Crimes contra animais de companhia,6
281,Santarém,Crimes contra animais de companhia,13
282,Alandroal,Crimes contra animais de companhia,0
283,Redondo,Crimes contra animais de companhia,0
284,Vagos,Ofensa à integridade física voluntária simples,29
285,Ferreira do Zêzere,Violência doméstica contra cônjuge ou análogos,13
286,Sertã,Violência doméstica contra cônjuge ou análogos,47
288,Amadora,Violência doméstica contra cônjuge ou análogos,559
289,Mafra,Violência doméstica contra cônjuge ou análogos,196
290,Seixal,Violência doméstica contra cônjuge ou análogos,370
291,Alentejo,Violência doméstica contra cônjuge ou análogos,1938
292,Alentejo Litoral,Violência doméstica contra cônjuge ou análogos,271
293,Alto Alentejo,Violência doméstica contra cônjuge ou análogos,369
294,Castelo de Vide,Violência doméstica contra cônjuge ou análogos,14
295,Crato,Violência doméstica contra cônjuge ou análogos,7
296,Alandroal,Violência doméstica contra cônjuge ou análogos,6
297,Calheta,Crimes contra a vida em sociedade,14
298,Horta,Crimes contra a vida em sociedade,47
299,Lajes das Flores,Crimes contra a vida em sociedade,4
300,Lajes do Pico,Crimes contra a vida em sociedade,5
301,Madalena,Crimes contra a vida em sociedade,12
302,Vila Franca do Campo,Crimes contra a vida em sociedade,41
305,Calheta,Crimes contra a vida em sociedade,53
306,Câmara de Lobos,Crimes contra a vida em sociedade,247
308,Barcelos,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",112
309,Matosinhos,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",32
310,Oliveira de Azeméis,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",228
311,Santo Tirso,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",79
312,Mealhada,Ofensa à integridade física voluntária simples,28
313,Miranda do Corvo,Ofensa à integridade física voluntária simples,17
314,Góis,Crimes contra a identidade cultural e integridade pessoal,0
315,Montemor-o-Velho,Crimes contra a identidade cultural e integridade pessoal,0
316,Leiria,Crimes contra a identidade cultural e integridade pessoal,3
317,Aguiar da Beira,Crimes contra a identidade cultural e integridade pessoal,0
318,Oliveira de Azeméis,Crimes contra a identidade cultural e integridade pessoal,0
319,São João da Madeira,Crimes contra a identidade cultural e integridade pessoal,0
320,Boticas,Crimes contra a identidade cultural e integridade pessoal,0
321,Cinfães,Crimes contra a identidade cultural e integridade pessoal,0
322,Douro,Crimes contra a identidade cultural e integridade pessoal,0
323,Freixo de Espada à Cinta,Crimes contra a identidade cultural e integridade pessoal,0
324,Moimenta da Beira,Crimes contra a identidade cultural e integridade pessoal,0
325,Peso da Régua,Crimes contra a identidade cultural e integridade pessoal,0
326,São João da Pesqueira,Crimes contra a identidade cultural e integridade pessoal,0
327,Torre de Moncorvo,Crimes contra a identidade cultural e integridade pessoal,0
328,Vila Nova de Foz Côa,Crimes contra a identidade cultural e integridade pessoal,0
329,Vila Real,Crimes contra a identidade cultural e integridade pessoal,0
330,Mogadouro,Crimes contra a identidade cultural e integridade pessoal,0
331,Portalegre,Crimes previstos em legislação avulsa,33
332,Arraiolos,Crimes previstos em legislação avulsa,4
333,Algarve,Crimes previstos em legislação avulsa,1486
334,Olhão,Crimes previstos em legislação avulsa,115
335,Silves,Crimes previstos em legislação avulsa,67
336,Vila Real de Santo António,Crimes previstos em legislação avulsa,73
337,Corvo,Crimes previstos em legislação avulsa,0
338,Lajes do Pico,Crimes previstos em legislação avulsa,5
339,São Roque do Pico,Crimes previstos em legislação avulsa,4
359,Mourão,Violência doméstica contra cônjuge ou análogos,8
360,Alcoutim,Violência doméstica contra cônjuge ou análogos,0
361,Lagoa,Violência doméstica contra cônjuge ou análogos,65
362,Angra do Heroísmo,Violência doméstica contra cônjuge ou análogos,118
363,Lajes das Flores,Violência doméstica contra cônjuge ou análogos,5
364,Lajes do Pico,Violência doméstica contra cônjuge ou análogos,7
365,Santa Cruz das Flores,Violência doméstica contra cônjuge ou análogos,10
366,São Roque do Pico,Violência doméstica contra cônjuge ou análogos,13
367,Monção,Crimes contra o património,182
368,Viana do Castelo,Crimes contra o património,1167
